EGID,Date of Construction,Year of Demolition,Surface Area of Building,Number of Floors,Age
140078,1837,2007,86.0,6,187
140604,1838,2009,147.0,5,186
141094,1950,2009,200.0,3,74
141126,1951,2023,215.0,4,73
141156,1945,2018,267.0,5,79
141157,1945,2018,244.0,5,79
141158,1945,2018,244.0,5,79
141159,1945,2018,267.0,5,79
141160,1945,2018,246.0,5,79
141161,1945,2018,245.0,5,79
141162,1945,2018,271.0,5,79
141163,1945,2018,271.0,5,79
141164,1945,2018,270.0,5,79
141165,1945,2018,267.0,5,79
141166,1945,2018,272.0,5,79
141167,1945,2018,267.0,5,79
141174,1951,2013,267.0,5,73
141175,1951,2013,263.0,5,73
141176,1951,2013,270.0,6,73
141177,1951,2013,240.0,5,73
141182,1960,2023,230.0,5,64
141183,1951,2013,234.0,4,73
141184,1951,2013,248.0,4,73
141192,1923,2023,78.0,4,101
141193,1928,2023,175.0,4,96
141239,1950,2018,202.0,5,74
141240,1950,2018,191.0,5,74
141260,1957,2007,230.0,4,67
141295,1925,2003,137.0,5,99
141333,1950,2022,192.0,5,74
141334,1950,2022,171.0,5,74
141337,1965,2022,144.0,5,59
141342,1894,2006,120.0,6,130
141348,1950,2022,166.0,5,74
141349,1950,2022,165.0,5,74
141350,1950,2022,154.0,5,74
141352,1950,2022,156.0,5,74
141354,1950,2022,156.0,6,74
141355,1950,2022,156.0,6,74
141356,1950,2022,155.0,5,74
141357,1950,2022,154.0,5,74
141358,1950,2022,160.0,5,74
141360,1926,2023,192.0,6,98
141361,1926,2023,270.0,6,98
141381,1926,2023,191.0,6,98
141407,1931,2021,141.0,3,93
141411,1937,2003,77.0,5,87
141414,1937,2003,71.0,4,87
141443,1931,2013,160.0,4,93
141444,1931,2013,157.0,4,93
141445,1931,2013,159.0,4,93
141446,1931,2015,220.0,4,93
141447,1931,2015,220.0,4,93
141449,1938,2021,64.0,4,86
141453,1949,2020,185.0,5,75
141454,1949,2020,181.0,5,75
141455,1949,2020,185.0,4,75
141461,1925,2010,110.0,4,99
141462,1948,2023,227.0,4,76
141463,1931,2013,191.0,4,93
141464,1948,2023,245.0,4,76
141465,1948,2023,287.0,4,76
141470,1931,2015,164.0,4,93
141471,1931,2015,167.0,6,93
141475,1938,2013,56.0,4,86
141476,1931,2013,49.0,4,93
141477,1931,2013,50.0,4,93
141478,1931,2013,50.0,4,93
141479,1931,2013,49.0,4,93
141480,1931,2013,49.0,4,93
141481,1931,2013,50.0,4,93
141482,1931,2013,57.0,4,93
141552,1932,2008,203.0,4,92
141558,1913,2008,100.0,5,111
141561,1906,2007,104.0,5,118
141649,1950,2008,296.0,5,74
141650,1950,2008,180.0,5,74
141651,1950,2008,169.0,5,74
141652,1950,2008,183.0,5,74
141656,1950,2008,168.0,5,74
141657,1950,2008,166.0,5,74
141658,1950,2008,192.0,6,74
141744,1936,2022,128.0,4,88
141770,1910,2015,131.0,5,114
142017,2000,2004,215.0,3,24
142132,1953,2023,174.0,5,71
142133,1953,2023,173.0,5,71
142134,1953,2023,174.0,5,71
142185,1929,2009,175.0,6,95
142214,1928,2014,167.0,6,96
142215,1928,2014,167.0,6,96
142216,1928,2014,167.0,6,96
142217,1928,2014,166.0,6,96
142218,1896,2009,106.0,5,128
142267,1951,2012,233.0,5,73
142271,1954,2022,226.0,5,70
142272,1951,2012,231.0,5,73
142292,1960,2017,268.0,5,64
142395,1930,2007,171.0,5,94
142396,1930,2007,178.0,5,94
142397,1930,2007,173.0,5,94
142398,1930,2007,176.0,5,94
142406,1932,2016,187.0,5,92
142407,1932,2016,187.0,4,92
142409,1932,2016,180.0,5,92
142410,1931,2016,178.0,5,93
142411,1931,2016,177.0,5,93
142412,1931,2016,178.0,5,93
142413,1932,2016,179.0,5,92
142414,1932,2016,179.0,5,92
142425,1929,2016,57.0,4,95
142426,1929,2016,56.0,4,95
142427,1929,2016,56.0,4,95
142428,1929,2016,56.0,4,95
142429,1929,2016,64.0,4,95
142430,1931,2016,44.0,4,93
142431,1931,2016,43.0,4,93
142432,1931,2016,44.0,4,93
142433,1931,2016,44.0,4,93
142434,1931,2016,43.0,4,93
142435,1931,2016,44.0,4,93
142436,1931,2016,81.0,4,93
142437,1931,2016,45.0,4,93
142438,1931,2016,44.0,4,93
142439,1931,2016,43.0,4,93
142440,1931,2016,44.0,4,93
142441,1931,2016,43.0,4,93
142442,1931,2016,44.0,4,93
142443,1931,2016,80.0,4,93
142444,1931,2016,45.0,4,93
142445,1931,2016,44.0,4,93
142446,1931,2016,43.0,4,93
142447,1931,2016,44.0,4,93
142448,1931,2016,44.0,4,93
142449,1931,2016,43.0,4,93
142450,1931,2016,81.0,4,93
142453,1931,2016,177.0,5,93
142454,1931,2016,178.0,5,93
142455,1932,2016,178.0,5,92
142456,1932,2016,178.0,5,92
142457,1929,2016,51.0,4,95
142458,1929,2016,51.0,4,95
142459,1929,2016,51.0,4,95
142460,1929,2016,50.0,4,95
142461,1929,2016,66.0,4,95
142491,1929,2016,193.0,5,95
142492,1929,2016,193.0,5,95
142493,1929,2016,195.0,5,95
142494,1929,2016,193.0,5,95
142496,1929,2016,53.0,4,95
142497,1929,2016,52.0,4,95
142498,1929,2016,51.0,4,95
142499,1929,2016,52.0,4,95
142500,1929,2016,66.0,4,95
142545,1946,2022,121.0,4,78
142550,1912,2014,124.0,5,112
142576,1923,2014,177.0,4,101
142577,1923,2013,180.0,5,101
142579,1923,2013,52.0,4,101
142580,1923,2014,46.0,4,101
142581,1923,2013,47.0,4,101
142582,1924,2014,46.0,4,100
142583,1923,2013,47.0,4,101
142584,1923,2014,51.0,4,101
142585,1923,2013,52.0,4,101
142586,1923,2014,51.0,4,101
142587,1923,2013,52.0,4,101
142588,1923,2014,45.0,4,101
142589,1923,2013,46.0,4,101
142590,1923,2014,45.0,4,101
142591,1923,2013,46.0,4,101
142592,1923,2014,51.0,4,101
142593,1923,2013,52.0,4,101
142594,1923,2014,158.0,5,101
142595,1923,2013,162.0,5,101
142600,1923,2014,163.0,5,101
142602,1912,2014,190.0,5,112
142603,1912,2014,183.0,6,112
142607,1912,2014,112.0,5,112
142608,1912,2014,185.0,5,112
142609,1912,2014,114.0,5,112
142612,1935,2012,106.0,4,89
142614,1949,2019,143.0,5,75
142619,1931,2022,150.0,4,93
142620,1931,2022,152.0,4,93
142621,1931,2022,182.0,5,93
142622,1931,2022,150.0,5,93
142623,1931,2022,150.0,5,93
142624,1931,2022,180.0,5,93
142625,1931,2022,150.0,5,93
142626,1931,2022,149.0,5,93
142631,1931,2022,130.0,5,93
142634,1944,2020,161.0,4,80
142637,1934,2012,71.0,4,90
142659,1947,2023,150.0,5,77
142664,1946,2021,79.0,4,78
142665,1946,2021,72.0,4,78
142713,1955,2023,198.0,4,69
142750,1931,2016,121.0,3,93
142813,1932,2012,115.0,4,92
142855,1926,2023,185.0,4,98
142856,1926,2023,187.0,4,98
142857,1926,2023,187.0,4,98
142860,1926,2023,55.0,3,98
142861,1926,2023,63.0,3,98
142951,1927,2014,90.0,3,97
142973,1948,2014,81.0,3,76
143004,1935,2010,91.0,4,89
143010,1950,2024,82.0,3,74
143014,1942,2005,135.0,4,82
143020,1930,2005,62.0,4,94
143021,1930,2005,61.0,4,94
143022,1930,2005,55.0,4,94
143023,1930,2005,54.0,4,94
143024,1930,2005,53.0,4,94
143025,1930,2005,54.0,4,94
143026,1930,2005,54.0,4,94
143027,1930,2005,54.0,4,94
143028,1930,2005,54.0,4,94
143029,1930,2005,54.0,4,94
143030,1930,2005,54.0,4,94
143031,1930,2005,56.0,4,94
143032,1930,2005,57.0,4,94
143033,1930,2005,56.0,4,94
143034,1963,2005,304.0,5,61
143035,1930,2005,54.0,4,94
143036,1930,2005,54.0,4,94
143037,1930,2005,54.0,4,94
143038,1930,2005,54.0,4,94
143039,1930,2005,54.0,4,94
143040,1930,2005,55.0,4,94
143041,1930,2005,55.0,4,94
143042,1930,2005,60.0,4,94
143043,1930,2005,56.0,4,94
143045,1930,2005,55.0,4,94
143107,1937,2018,71.0,4,87
143109,1919,2021,119.0,4,105
143112,1919,2020,85.0,4,105
143215,1957,2020,161.0,4,67
143216,1957,2020,159.0,4,67
143217,1957,2020,159.0,4,67
143218,1957,2020,159.0,4,67
143240,1957,2020,160.0,5,67
143241,1957,2020,157.0,5,67
143242,1957,2020,162.0,5,67
143243,1957,2020,134.0,4,67
143244,1957,2020,147.0,4,67
143245,1957,2020,134.0,5,67
143246,1957,2020,147.0,4,67
143247,1957,2020,145.0,4,67
143248,1957,2020,135.0,4,67
143249,1957,2020,147.0,4,67
143250,1957,2020,135.0,4,67
143302,1951,2008,242.0,4,73
143303,1951,2007,158.0,4,73
143304,1951,2007,160.0,4,73
143305,1951,2010,172.0,5,73
143306,1951,2010,173.0,5,73
143307,1951,2010,172.0,5,73
