EGID,Date of Construction,Surface Area of Building,Number of Floors,Age
140010,1280,129,5,744
140149,1700,58,6,324
140151,1700,77,5,324
140153,1837,81,5,187
140179,1812,77,5,212
140196,1611,100,5,413
140207,1812,44,4,212
140209,1812,52,4,212
140213,1851,50,4,173
140214,1849,108,6,175
140228,1350,42,4,674
140230,1812,100,5,212
140236,1430,88,6,594
140242,1700,96,6,324
140281,1839,60,5,185
140282,1863,92,6,161
140303,1200,110,6,824
140306,1812,51,7,212
140322,1842,124,4,182
140327,1891,112,4,133
140329,1960,113,7,64
140331,1952,140,7,72
140332,1469,192,6,555
140344,1601,287,6,423
140354,1812,51,6,212
140370,1974,100,3,50
140377,1812,73,5,212
140379,1600,164,8,424
140390,1410,129,7,614
140398,1812,36,6,212
140423,1600,155,5,424
140425,1812,112,7,212
140426,1812,124,5,212
140427,1335,168,5,689
140454,1281,270,5,743
140463,1470,100,5,554
140464,1470,99,6,554
140465,1400,76,6,624
140466,1650,67,5,374
140467,1836,322,7,188
140470,1812,86,5,212
140471,1812,82,4,212
140472,1650,86,6,374
140473,1546,60,5,478
140476,1535,52,5,489
140479,1839,51,6,185
140482,1535,50,5,489
140483,1275,86,7,749
140485,1743,77,5,281
140486,1614,82,7,410
140487,1410,53,4,614
140489,1700,62,4,324
140491,1430,83,4,594
140492,1400,70,5,624
140494,1400,59,5,624
140495,1648,92,6,376
140498,1661,247,4,363
140501,1408,169,7,616
140502,1400,55,7,624
140503,1812,255,7,212
140517,1932,247,5,92
140518,1812,114,6,212
140521,1987,58,4,37
140535,1898,152,8,126
140542,1885,187,5,139
140545,1903,132,6,121
140551,1888,189,5,136
140552,1854,169,5,170
140553,1893,146,5,131
140570,1863,198,4,161
140583,1890,196,5,134
140584,1889,148,5,135
140589,1718,86,3,306
140598,1933,500,5,91
140606,1974,149,4,50
140608,1892,211,7,132
140621,1780,110,4,244
140675,1726,153,9,298
140678,1812,165,5,212
140679,1847,82,3,177
140681,1500,116,6,524
140702,1539,193,6,485
140707,1800,84,8,224
140710,1812,96,7,212
140715,1961,97,3,63
140736,1700,78,6,324
140756,1812,49,5,212
140766,1812,98,3,212
140775,1812,35,7,212
140780,1523,252,4,501
140793,1800,66,5,224
140798,1812,68,8,212
140800,1350,46,8,674
140804,1250,63,7,774
140810,1589,75,6,435
140814,1812,59,7,212
140827,1812,127,5,212
140946,1848,150,6,176
140952,1845,145,6,179
140980,1876,184,7,148
140982,1863,189,5,161
140984,1864,196,5,160
140987,1863,157,5,161
140989,1880,210,7,144
141019,1953,209,5,71
141020,1953,207,4,71
141021,1953,209,4,71
141022,1958,335,5,66
141025,1843,290,5,181
141027,1843,70,4,181
141028,1843,131,4,181
141029,1953,207,5,71
141031,1953,209,5,71
141032,1876,105,6,148
141033,1549,220,6,475
141035,1880,101,5,144
141038,1905,136,3,119
141043,1929,183,7,95
141044,1929,147,7,95
141046,1929,184,7,95
141061,1935,294,7,89
141063,1908,117,7,116
141064,1908,134,7,116
141065,1908,144,7,116
141066,1897,134,6,127
141067,1897,306,7,127
141070,1940,175,6,84
141071,1927,225,6,97
141075,1928,171,6,96
141076,1928,172,6,96
141077,1927,224,6,97
141081,1928,232,6,96
141082,1912,223,6,112
141084,1909,153,6,115
141085,1908,147,7,116
141087,1913,129,6,111
141088,1913,129,6,111
141089,1907,110,5,117
141091,1906,115,5,118
141092,1933,238,5,91
141093,1933,233,5,91
141095,1930,216,5,94
141097,1883,169,4,141
141098,1899,139,4,125
141099,1940,205,5,84
141100,1939,203,5,85
141101,1939,204,4,85
141102,1939,203,5,85
141103,1939,203,5,85
141104,1939,193,5,85
141107,1952,172,5,72
141108,1952,242,5,72
141109,1949,244,5,75
141110,1949,246,5,75
141111,1928,100,3,96
141112,1949,253,5,75
141113,1948,249,5,76
141114,1948,254,5,76
141115,1948,244,5,76
141116,1976,366,5,48
141117,1740,225,5,284
141118,1976,342,5,48
141119,1976,353,5,48
141120,1904,205,6,120
141121,1904,434,5,120
141127,1950,259,6,74
141129,1986,289,4,38
141130,1986,480,4,38
141132,1988,63,3,36
141133,1988,61,3,36
141134,1957,185,3,67
141137,1980,768,6,44
141138,1925,195,5,99
141139,1955,236,4,69
141140,1955,239,3,69
141141,1955,223,4,69
141142,1955,229,5,69
141144,1958,232,5,66
141145,1958,235,5,66
141146,1958,232,5,66
141147,1958,233,5,66
141148,1951,211,5,73
141149,1951,223,5,73
141150,1951,222,5,73
141151,1951,222,5,73
141152,1951,270,5,73
141153,1952,221,4,72
141154,1951,226,5,73
141168,1988,208,5,36
141169,1988,209,5,36
141170,1988,217,5,36
141172,1969,404,5,55
141173,1903,275,5,121
141178,1924,104,3,100
141180,1950,119,4,74
141181,1950,123,4,74
141185,1926,177,5,98
141186,1926,188,6,98
141187,1926,165,5,98
141188,1973,301,5,51
141189,1928,132,4,96
141190,1995,221,6,29
141191,1926,102,4,98
141194,1933,259,5,91
141195,1946,173,4,78
141196,1933,196,5,91
141197,1933,199,5,91
141201,1960,233,5,64
141202,1960,220,4,64
141206,1952,222,5,72
141207,1843,133,5,181
141208,1843,98,5,181
141209,1910,115,7,114
141210,1910,101,7,114
141211,1911,101,7,113
141215,1931,217,6,93
141216,1931,183,6,93
141217,1953,243,5,71
141218,1652,119,4,372
141219,1986,153,4,38
141220,1867,38,3,157
141223,1809,112,6,215
141225,1932,228,5,92
141226,1915,137,5,109
141227,1938,168,6,86
141228,1938,147,5,86
141229,1932,326,5,92
141230,1932,142,4,92
141231,1843,104,6,181
141232,1843,91,4,181
141233,1929,143,5,95
141235,1909,157,5,115
141237,1925,418,6,99
141238,1915,235,6,109
141241,1931,149,5,93
141242,1924,135,5,100
141243,1926,122,5,98
141244,1924,135,5,100
141245,1951,197,5,73
141246,1951,198,5,73
141247,1913,111,5,111
